idbase,arrondissement,adresse,genre,espece,latitude,longitude
2030020,PARIS 19E ARRDT,DECORATION DE LA RUE D AUBERVILLIERS / 160 RUE D AUBERVILLIERS,Prunus,x subhirtella,48.8939741,2.3702437
164536,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 40,Prunus,avium,48.7636074,2.3766088
2042862,PARIS 12E ARRDT,JARDIN DE REUILLY - PAUL PERNIN / 1 RUE ALBINONI,Prunus,,48.8423977,2.3883302
124113,PARIS 20E ARRDT,JARDIN NATUREL,Prunus,mahaleb,48.8589932,2.3991166
128272,PARIS 17E ARRDT,SQUARE JEROME BELLAT / 2 PLACE STUART MERRILL,Prunus,avium,48.8859666,2.2936341
348209,PARIS 16E ARRDT,RUE CLAUDE FARRERE / PARVIS DU STADE JEAN BOUIN,Prunus,avium,48.8426111,2.2518823
137540,PARIS 13E ARRDT,SQUARE HELOISE ET ABELARD / 15 RUE DUCHEFDELAVILLE,Prunus,,48.8315420,2.3705338
190447,PARIS 19E ARRDT,ECOLE MATERNELLE / 2 RUE DES BOIS,Prunus,,48.8774669,2.3962228
198739,PARIS 14E ARRDT,CENTRE SPORTIF ELISABETH / 11 AVENUE PAUL APPELL,Prunus,serrulata,48.8210669,2.3284045
2041965,PARIS 15E ARRDT,SQUARE DES PERICHAUX / 123 BOULEVARD LEFEBVRE,Prunus,,48.8296513,2.2979461
187401,PARIS 13E ARRDT,ECOLE POLYVALENTE / 8 RUE KUSS,Prunus,,48.8222614,2.3513924
189559,PARIS 17E ARRDT,CAPORAL PEUGEOT (10),Prunus,,48.8875242,2.2897674
283109,PARIS 20E ARRDT,PLACE CARMEN,Prunus,avium,48.8661949,2.3890275
165042,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 39,Prunus,,48.9044160,2.4047569
117854,PARIS 11E ARRDT,SQUARE DE LA ROQUETTE / 143 RUE DE LA ROQUETTE,Prunus,serrulata,48.8598941,2.3852689
120239,PARIS 18E ARRDT,SQUARE DE LA RUE HENRI HUCHARD / 25 RUE LOUIS PASTEUR VALLERY RADOT,Prunus,,48.8994753,2.3312740
2046966,PARIS 15E ARRDT,LA SOURIS VERTE / 112 RUE BRANCION,Prunus,serrulata,48.8294712,2.3002369
2052578,BOIS DE BOULOGNE,PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY,Prunus,x yedoensis,48.8717760,2.2503169
228327,PARIS 15E ARRDT,RUE DE LA MONTAGNE DE L ESPEROU,Prunus,x subhirtella,48.8419189,2.2763921
101678,PARIS 19E ARRDT,PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS,Prunus,serrulata,48.8797281,2.3878941
2029011,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,serrula,48.8935189,2.3965293
227656,PARIS 18E ARRDT,RUE DAMREMONT,Prunus,x hillieri,48.8870994,2.3324994
228338,PARIS 15E ARRDT,RUE DE LA MONTAGNE DE L ESPEROU,Prunus,x subhirtella,48.8423224,2.2752190
228290,PARIS 17E ARRDT,RUE ANDRE BRECHET,Prunus,,48.8988907,2.3255766
119938,PARIS 18E ARRDT,SQUARE LEON SERPOLLET / 156 RUE MARCADET,Prunus,,48.8920939,2.3392096
165177,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 4,Prunus,,48.9066386,2.4002346
